item,act,rt,n_kwics,id,participant,is_noise_embeddings,is_equal_frequency,minerva_k,minerva_max_iter,avg_last_n_layers
abandon ship,0.9722107648849487,3.0,100,6463343,1,False,False,0.95,300,1
battle demon,0.9775840044021606,5.0,100,6463343,1,False,False,0.95,300,1
beat drum,0.9762673377990723,3.0,100,6463343,1,False,False,0.95,300,1
bend knee,0.9607940316200256,10.0,100,6463343,1,False,False,0.95,300,1
blow smoke,0.9732455015182495,3.0,100,6463343,1,False,False,0.95,300,1
break leg,0.9887830018997192,1.0,100,6463343,1,False,False,0.95,300,1
build wall,0.9702892303466797,2.0,100,6463343,1,False,False,0.95,300,1
capture heart,0.9880845546722412,4.0,100,6463343,1,False,False,0.95,300,1
carry weight,0.9659522175788879,2.0,100,6463343,1,False,False,0.95,300,1
cast net,0.9583228230476379,3.0,100,6463343,1,False,False,0.95,300,1
abandon ship,0.9775845408439636,3.0,100,7056020,2,False,False,0.95,300,1
battle demon,0.9775118827819824,4.0,100,7056020,2,False,False,0.95,300,1
beat drum,0.9606345295906067,3.0,100,7056020,2,False,False,0.95,300,1
bend knee,0.9650734066963196,11.0,100,7056020,2,False,False,0.95,300,1
blow smoke,0.9789410829544067,3.0,100,7056020,2,False,False,0.95,300,1
break leg,0.988962709903717,1.0,100,7056020,2,False,False,0.95,300,1
build wall,0.9680744409561157,2.0,100,7056020,2,False,False,0.95,300,1
capture heart,0.9917681813240051,4.0,100,7056020,2,False,False,0.95,300,1
carry weight,0.9674742221832275,2.0,100,7056020,2,False,False,0.95,300,1
cast net,0.9668601751327515,4.0,100,7056020,2,False,False,0.95,300,1
abandon ship,0.9766939282417297,3.0,100,679215,3,False,False,0.95,300,1
battle demon,0.9690821170806885,6.0,100,679215,3,False,False,0.95,300,1
beat drum,0.9856685400009155,3.0,100,679215,3,False,False,0.95,300,1
bend knee,0.9671125411987305,10.0,100,679215,3,False,False,0.95,300,1
blow smoke,0.9755849242210388,3.0,100,679215,3,False,False,0.95,300,1
break leg,0.9898788928985596,1.0,100,679215,3,False,False,0.95,300,1
build wall,0.974414050579071,2.0,100,679215,3,False,False,0.95,300,1
capture heart,0.9898689985275269,4.0,100,679215,3,False,False,0.95,300,1
carry weight,0.9668189287185669,2.0,100,679215,3,False,False,0.95,300,1
cast net,0.979648232460022,4.0,100,679215,3,False,False,0.95,300,1
